id,translation,partisan_state_label_o3,closed_society_label_o3,power_concentration_label_o3,euroscepticism_label_o3,economic_label_o3,censorship_label_o3,immigration_label_o3,combined_reasoning_o3,partisan_state_label_4o,closed_society_label_4o,power_concentration_label_4o,euroscepticism_label_4o,economic_label_4o,censorship_label_4o,immigration_label_4o,combined_reasoning_4o
6.179802615994409e+17,"Greeks want to live at the expense of other Eurozone citizens. Debts have to be paid, now creditors have a problem. Who is responsible?",no,no,no,yes,no,no,yes,"partisan_state_label: The text does not claim state institutions favor any group; it targets a nationality rather than state policies.
closed_society_label: There is no mention of rational debate, multiculturalism, or closing cultural differences.
power_concentration_label: The text does not discuss reducing checks and balances or consolidating power in state institutions.
euroscepticism_label: The text targets Greeks within the Eurozone and blames them for fiscal problems, reflecting hostility towards EU member behavior.
economic_label: Although economic issues are mentioned, the text does not explicitly advocate economic protectionism or criticize free trade.
censorship_label: The text does not complain about censorship or unfair treatment by state institutions or the media.
immigration_label: The text uses prejudicial language against Greeks—a national/ethnic group—exaggerating their behavior, which aligns with xenophobic rhetoric.",no,no,no,yes,no,no,no,"partisan_state_label: The text does not suggest bias in state institutions or policy.
closed_society_label: There is no irrational closure regarding cultural differences presented.
power_concentration_label: The text does not imply a reduction of checks and balances.
euroscepticism_label: It irrationally blames Greeks while addressing Eurozone financial matters.
economic_label: There is no explicit criticism of free trade or economic exchanges.
censorship_label: There are no complaints about censorship or unfair treatment evident.
immigration_label: The text does not address immigration or non-dominant cultural groups."
3.498312232810578e+17,"Journalists have a lot of power, almost like Twitter. I didn't want to buy the duck. It was enough for the journalist from e15 to ask and the others did not describe.",no,no,no,no,no,no,no,"partisan_state_label: The text does not imply bias within state institutions or favoring a particular group.
closed_society_label: There is no indication of opposition to multiculturalism or rational debate.
power_concentration_label: Although it mentions journalists having power, the text does not imply a reduction of checks and balances.
euroscepticism_label: There is no reference to, or criticism of, the EU in the text.
economic_label: The text does not address free trade, globalization, or national economic protection.
censorship_label: There is no complaint about censorship, unfair treatment, or partiality of institutions.
immigration_label: The text does not mention or criticize immigration or non-dominant cultural or ethnic groups.",no,no,no,no,no,yes,no,"partisan_state_label: The text does not express bias towards any specific group.
closed_society_label: There are no indications of irrational opposition to cultural differences or knowledge.
power_concentration_label: The text does not imply a reduction of checks and balances.
euroscepticism_label: There is no mention of the EU or opposition towards it.
economic_label: The text does not criticize free trade or advocate for protectionism.
censorship_label: It suggests unfair treatment of journalists and mentions a lack of comprehensive reporting.
immigration_label: There are no complaints or issues raised about immigration or ethnic groups."
1.568198240981352e+18,Today on @CNNPrima. They wanted to silence me. I didn't give up 😜 https://youtu.be/M8MUHp1pQDk,no,no,no,no,no,yes,no,"partisan_state_label: The text does not mention state institutions showing bias towards a specific group.
closed_society_label: There is no opposition to multiculturalism or rational debate in the text.
power_concentration_label: It does not discuss reducing checks and balances or centralizing power.
euroscepticism_label: The text makes no reference to the European Union or its policies.
economic_label: There is no mention of economic policies, free trade, or globalization concerns.
censorship_label: The statement 'They wanted to silence me' directly alludes to perceived censorship or mistreatment.
immigration_label: The text does not refer to any non-dominant cultural or ethnic groups or related issues.",no,no,no,no,no,yes,no,"partisan_state_label: The text does not show bias towards any specific group in state policy.
closed_society_label: There is no mention of opposing multiculturalism or rational knowledge.
power_concentration_label: The text does not imply a reduction of checks and balances.
euroscepticism_label: There is no reference to the EU or opposition towards it.
economic_label: The text does not address free trade or economic policies.
censorship_label: The statement expresses a feeling of being silenced, indicating censorship.
immigration_label: There are no complaints or references to immigration or ethnic groups."
7.235171097923133e+17,Eurozone countries want to limit purchases of government bonds by local commercial banks. They want to involve us in their problems - unacceptable!,no,no,no,yes,no,no,no,"partisan_state_label: The text does not claim state institutions favor a specific group or show partisan bias.
closed_society_label: There is no opposition to multiculturalism or rational debate presented in the text.
power_concentration_label: The text does not imply a reduction of checks and balances to consolidate power.
euroscepticism_label: It criticizes Eurozone countries for interfering and involving others in their problems, reflecting Eurosceptic sentiment.
economic_label: The text does not emphasize limiting free trade or protecting the national economy.
censorship_label: There is no mention or complaint about censorship or mistreatment by state or media institutions.
immigration_label: The text does not include any remarks or complaints about immigration or non-dominant cultural or ethnic groups.",no,no,no,yes,no,no,no,"partisan_state_label: The text does not express bias favoring a specific group.
closed_society_label: There is no irrational opposition to cultural differences or knowledge.
power_concentration_label: The text does not imply reduction of checks and balances.
euroscepticism_label: It exhibits opposition to Eurozone policies and involvement.
economic_label: The text does not explicitly limit or criticize free trade.
censorship_label: There are no complaints of censorship or unfair treatment presented.
immigration_label: The text does not discuss immigration or cultural dominance."
1.470513086624936e+18,"I strongly believe that even @P_Fiala understands the importance of V4. For example, our views on migration, which were not accepted in the past, are today. This week, seven states asked the EC to discuss migration policy. The construction of fences is under consideration. I'm glad that others see how important safety is.",no,no,no,no,no,no,yes,"partisan_state_label: The text does not assert bias in state institutions or claim favoritism toward any group.
closed_society_label: There is no irrational rejection of cultural differences or opposition to multiculturalism visible.
power_concentration_label: The text does not imply reducing checks and balances to centralize power.
euroscepticism_label: While the text mentions the EC, it does not express irrational opposition to the EU.
economic_label: Economic exchange or free trade is not addressed in the text.
censorship_label: There is no complaint about censorship or biased treatment by media or state institutions.
immigration_label: The text emphasizes migration policies and fence construction, reflecting anti-immigration sentiment.",no,no,no,no,no,no,yes,"partisan_state_label: There is no bias claimed towards a particular group in state institutions.
closed_society_label: No unmotivated closure or opposition to multiculturalism is evident in the text.
power_concentration_label: The text does not imply a reduction of checks and balances for power.
euroscepticism_label: The text does not irrationally criticize the EU; it discusses migration policy among states.
economic_label: There is no explicit criticism of free trade or emphasis on national economic priority.
censorship_label: There are no complaints of censorship or unfair treatment in the text.
immigration_label: The text discusses migration with a focus on safety, implying concerns about non-dominant groups."
1.393163714799485e+18,I went to see the special x-ray technology at our customs officers in Vysočina. We also talked about illegal migration. The route from Romania to Hungary and Slovakia is active again and we will solve it immediately. https://twitter.com/AndrejBabis/status/1393163714799484928/photo/1,no,no,no,no,no,no,yes,"partisan_state_label: The text does not portray state institutions as biased or favoring a certain group.
closed_society_label: There is no suggestion of rejecting multiculturalism or rational debate in the text.
power_concentration_label: The text makes no mention of reducing checks and balances or consolidating power.
euroscepticism_label: The text discusses migration routes among European countries without expressing irrational opposition to the EU.
economic_label: There is no critique of free trade or globalization; the focus is on migration and customs.
censorship_label: The text does not complain about censorship, mistreatment, or partiality of institutions.
immigration_label: The mention of illegal migration with urgent resolution reflects an anti-immigration sentiment.",no,no,no,no,no,no,yes,"partisan_state_label: The text does not show bias towards a particular group or state institution.
closed_society_label: The text does not exhibit opposition to cultural differences or rational knowledge.
power_concentration_label: There are no implications of reducing checks and balances or increasing power.
euroscepticism_label: No irrational or unmotivated opposition to the EU is expressed in the text.
economic_label: The text does not criticize free trade or express economic protectionism.
censorship_label: There are no complaints about censorship or unfair treatment in the text.
immigration_label: The text discusses illegal migration and suggests immediate action, implying concerns about non-dominant groups."
1.45044002312865e+18,"Stop insulting us, Mr. War. We invited you to the Council for Health Risks. I encourage cooperation. To debate with experts. Without politics. But you don't want to and with that AntiCovid team of yours you only publish empty strategies. The government will therefore decide on further measures tomorrow, even without you. « SeznamZpravy: @MarieBastlova Válek: ""The fact that Prime Minister Babiš is making the public feel that he is trying to draw us into a debate with expert committees is a complete lie. He wants to draw us into a debate with politicians YES...But what should I talk about with lawyer Vojtěch, with agrobaron Babiš?"" #ptamseja — https://twitter.com/seznamzpravy/status/1450423783022551041 »",no,no,no,no,no,no,no,"partisan_state_label: The text criticizes political tactics but does not claim state bias toward one group.
closed_society_label: There is no irrational opposition to cultural differences or science; debate is actually encouraged.
power_concentration_label: While the government asserts it will act independently, it does not suggest unchecked concentration of power.
euroscepticism_label: The text does not reference the EU or express irrational opposition to it.
economic_label: There is no discussion on free trade, globalization, or prioritizing the national economy.
censorship_label: The text criticizes political opponents and strategies but does not complain about censorship or unfair treatment.
immigration_label: There is no mention of non-dominant cultural or ethnic groups or exaggerated anti-immigration rhetoric.",no,no,yes,no,no,yes,no,"partisan_state_label: The text critiques political decision-making without showing a clear bias towards a particular group.
closed_society_label: There is no opposition to cultural differences or irrational disregard for knowledge presented in the text.
power_concentration_label: The text implies governmental decisions are being made without input from experts, showcasing a potential reduction in checks.
euroscepticism_label: There is no opposition to the EU; the text focuses on health and politics, not EU structures.
economic_label: The text discusses health policy rather than economic protectionism or trade limitations.
censorship_label: There are complaints of governmental misrepresentation and lack of truthful debate, suggesting censorship.
immigration_label: The text does not address immigration or cultural/ethnic complaints."
1.134382923979903e+18,"In addition, the draft report should contain an interpretation that is significantly different from the previously leaked EC Legal Service document. I am not breaking either Czech or European laws. I am shocked by what the Czech media claim that the EC wants to return the subsidies that my former company received. It's not true.",no,no,no,no,no,yes,no,"partisan_state_label: The text does not display bias toward state institutions, nor does it claim favoritism for any particular group.
closed_society_label: The text does not oppose multiculturalism or rational debate; it merely states facts and refutes claims.
power_concentration_label: There is no indication of advocating reduced checks and balances or consolidating power in the text.
euroscepticism_label: Although European laws and the EC are mentioned, the text does not irrationally oppose the EU.
economic_label: The text discusses subsidies but does not criticize free trade or advocate for economic protectionism.
censorship_label: The author expresses shock at Czech media claims, implying a grievance over biased or unfair reporting.
immigration_label: There is no mention or complaint regarding non-dominant cultural or ethnic groups in the text.",no,no,no,no,no,yes,no,"partisan_state_label: The text does not introduce bias towards a specific group or state institution.
closed_society_label: There is no opposition to cultural differences or rational knowledge expressed in the text.
power_concentration_label: The text does not imply a reduction of checks and balances or a power grab.
euroscepticism_label: The text does not express opposition to the EU in an irrational or unmotivated way.
economic_label: There is no desire expressed to limit free trade or prioritize the national economy.
censorship_label: The author claims the media is misrepresenting their actions, indicating a complaint of unfair treatment.
immigration_label: The text does not discuss or complain about non-dominant cultural or ethnic groups."
1.059481270718226e+18,"As prime minister, I insist that the Czech Republic does not sign the UN pact on migration. It threatens our security and sovereignty. http://www.facebook.com/AndrejBabis/posts/1375761782560462",no,no,no,no,no,no,yes,"partisan_state_label: The text states a policy decision without irrational claims about institutional bias toward a specific group.
closed_society_label: The text does not express irrational opposition to cultural diversity or multiculturalism.
power_concentration_label: There is no implication of reducing checks and balances or consolidating power.
euroscepticism_label: The criticism is directed at a UN migration pact, not the European Union.
economic_label: The argument is focused on migration’s threat to security and sovereignty, not on economic protectionism.
censorship_label: There is no mention of censorship or complaints of mistreatment by the state or media.
immigration_label: The text opposes a migration pact, citing security and sovereignty concerns, which aligns with anti-immigration sentiment.",no,no,no,no,no,no,yes,"partisan_state_label: The text does not show bias towards a particular group in state policies.
closed_society_label: No irrational closure against multiculturalism or knowledge is present in the text.
power_concentration_label: The text does not imply a reduction of checks and balances for more power.
euroscepticism_label: The text opposes a UN migration pact, not specifically the EU.
economic_label: There are no explicit critiques of free trade or a desire to limit economic exchanges.
censorship_label: The text does not complain about censorship or unfair treatment by institutions.
immigration_label: It opposes a migration pact based on security concerns, reflecting anti-immigration sentiment."
1.002224942539334e+18,"Well, this is not good news at all. The United States will start applying tariffs on steel and aluminum from the European Union starting Friday. This US-Europe trade war is going to hurt everyone. Europe must defend its interests at the WTO.",no,no,no,no,no,no,no,"partisan_state_label: The text does not show irrational bias or unfair claims about state institutions preferring any group.
closed_society_label: There is no expression of opposition to cultural differences or debate; it is a neutral report on trade policy.
power_concentration_label: The text does not imply a reduction of checks and balances or suggest centralizing power.
euroscepticism_label: While the text discusses a US-Europe trade war, it does not irrationally oppose the EU but rather reports a trade dispute.
economic_label: The report states facts about tariffs and trade actions without explicitly endorsing protectionism or criticizing free trade.
censorship_label: There are no complaints or claims of censorship, unfair treatment, or media bias in the text.
immigration_label: The text makes no references to immigration issues or non-dominant cultural or ethnic groups.",no,no,no,no,yes,no,no,"partisan_state_label: The text does not claim bias towards a specific group or irrational preference.
closed_society_label: There is no opposition to cultural differences or rational knowledge in the text.
power_concentration_label: The text does not imply a reduction in checks and balances or power concentration.
euroscepticism_label: While it discusses tariffs, it does not express irrational opposition to the EU itself.
economic_label: The text discusses tariffs and a trade war, indicating criticism of free trade.
censorship_label: There are no complaints of censorship or unfair treatment in the text.
immigration_label: The text does not mention immigration or cultural dominance issues."
