"","X","user","date","text","id","country_name_short","party_id","party_name_short","party_name","party_name_english","translation","censorship_label","closed_society_label","economic_label","euroscepticism_label","immigration_label","partisan_state_label","power_concentration_label"
"1",173452,"pisorgpl","2016-12-17 11:19:30","Premier @BeataSzydlo w #Kraków: My politycy, tak jak i strażacy służymy ludziom.",810081987054735360,"POL","528.0","PiS","Prawo i Sprawiedliwość","Law and Justice","Prime Minister @BeataSzydlo in #Kraków: We politicians, just like firefighters, serve people.",0,0,0,0,0,0,0
"2",496621,"forza_italia","12/18/12 10:44","Berlusconi: Pronto il ''patto del parlamentare'' http://bit.ly/SKjmsl",280986794571485184,"ITA","596","FI-PdL","Forza Italia – Il Popolo della Libertà","Go Italy -- The People of Freedom","Berlusconi: The ''parliamentarian's pact'' is ready http://bit.ly/SKjmsl",0,0,0,0,0,0,0
"3",378058,"LegaSalvini","5/26/21 8:49","++ 🔥 STEFANO #ZECCHI: “SULL’IMMIGRAZIONE EVOCARE L’EUROPA È COME EVOCARE BABBO NATALE” ++
https://www.facebook.com/legasalvinipremier/videos/861280321093180/",1397474861694476288,"ITA","1436","LN","Lega Nord","North League","++ 🔥 STEFANO #ZECCHI: “ON IMMIGRATION, EVOKING EUROPE IS LIKE EVOKING SANTA CLAUS” ++
https://www.facebook.com/legasalvinipremier/videos/861280321093180/",0,0,0,1,1,0,0
"4",155425,"pisorgpl","2013-09-01 12:38:09","Następne spotkanie w Sędziszowie Małopolskim, ul.Fabryczna 11 godz.15:00... Zapraszamy! http://fb.me/1NWzbNTHl",374149177497772032,"POL","528.0","PiS","Prawo i Sprawiedliwość","Law and Justice","The next meeting in Sędziszów Małopolski, ul. Fabryczna 11 at 3:00 p.m.... Welcome! http://fb.me/1NWzbNTHl",0,0,0,0,0,0,0
"5",494419,"forza_italia","4/20/12 15:20","Liguria, i candidati sindaco alle #elezioni amministrative del 6 e 7 maggio http://ow.ly/anByz",193358419288272896,"ITA","596","FI-PdL","Forza Italia – Il Popolo della Libertà","Go Italy -- The People of Freedom","Liguria, the mayoral candidates in the administrative #elections of 6 and 7 May http://ow.ly/anByz",0,0,0,0,0,0,0
"6",313654,"LegaSalvini","2/7/19 14:50","Ecco il Capitano a PIANELLA (Pescara). 

#domenicavotoLega",1093522518063960064,"ITA","1436","LN","Lega Nord","North League","Here is the Captain in PIANELLA (Pescara). 

#DomenicavotoLega",0,0,0,0,0,0,0
"7",998801,"volkspartei","2018-01-16T09:07:39.000Z","In Kürze startet der heutige #Ministerrat. ""Mein Team und ich fokussieren eine Verwaltungsvereinfachung in unserem Schulsystem. Weiters ist auch Deutsch vor Schuleintritt eine wichtige Integrationsmaßnahme, werden dafür ein Konzept vorlegen."" BM Heinz #Faßmann https://t.co/nlbHY746AN",953192011137511424,"AUT","1013.0","OVP","Österreichische Volkspartei","Austrian People's Party","Today's #Council of Ministers will start shortly. ""My team and I are focusing on simplifying administration in our school system. Furthermore, German before starting school is an important integration measure and will present a concept for this."" BM Heinz #Faßmann https://t.co/nlbHY746AN",0,0,0,0,0,0,0
"8",471070,"UdcIta","4/25/21 7:29","🟢⚪🔴 La #FestadellaLiberazione è una festa di tutti gli italiani. I valori della Resistenza appartengono a ciascuno di noi e alla nostra storia. Oggi più che mai bisogna essere uniti. Buon #25Aprile da tutti noi dell’Udc!  W l'Italia! 🇮🇹🇮🇹🇮🇹 https://twitter.com/UdcIta/status/1386220867517128705/photo/1",1386220867517128704,"ITA","226","UC","Unione / Centro","Union / Centre","🟢⚪🔴 The #Liberation Festival is a celebration for all Italians. The values ​​of the Resistance belong to each of us and to our history. Today more than ever we need to be united. Happy #25April from all of us at UDC!  W Italy! 🇮🇹🇮🇹🇮🇹 https://twitter.com/UdcIta/status/1386220867517128705/photo/1",0,0,0,0,0,0,0
"9",294544,"LegaSalvini","9/18/17 14:50","ONDATA INARRESTABILE
Si tratta di una 57enne tedesca, trovata stamani nuda e legata ad un palo da un tassista che... http://fb.me/8T7I7Ttyo",909791705842536448,"ITA","1436","LN","Lega Nord","North League","UNSTOPPABLE WAVE
She is a 57-year-old German woman, found this morning naked and tied to a pole by a taxi driver who... http://fb.me/8T7I7Ttyo",0,0,0,0,0,0,0
"10",99955,"Platforma_org","2015-02-04 16:07:09","#POwmediach 04.02: S. Niesiołowski - @TakJestTVN24 (18:00)",563005850227601408,"POL","512.0","PO","Platforma Obywatelska","Civic Platform","#POwmediach 04/02: S. Niesiołowski - @TakJestTVN24 (18:00)",0,0,0,0,0,0,0
